Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
Bonuspunkte.pdf;13303;"Dominik Rauh";"2019-02-07 09:16:37";Bonuspunkte;;/Bonuspunkte.pdf
Organisatorisches.pdf;57350;"Dominik Rauh";"2018-10-31 13:33:27";Organisatorisches;;/Organisatorisches.pdf
Blatt01-Lösungsvorschlag.pdf;57221;"Dominik Rauh";"2018-11-07 10:43:40";"Lösungsvorschlag zu Übungsblatt 01";;/Blatt01/Blatt01-Lösungsvorschlag.pdf
Blatt01.pdf;48344;"Dominik Rauh";"2018-11-07 10:42:01";"Übungsblatt 01";;/Blatt01/Blatt01.pdf
Blatt02-Lösungsvorschlag.pdf;185006;"Dominik Rauh";"2018-11-14 09:47:37";"Lösungsvorschlag zu Blatt 02";;/Blatt02/Blatt02-Lösungsvorschlag.pdf
PräsentationBlatt02.pdf;227432;"Dominik Rauh";"2018-11-14 09:51:55";"Präsentation zu Blatt 02";;/Blatt02/PräsentationBlatt02.pdf
Blatt02.pdf;66147;"Dominik Rauh";"2018-11-07 10:44:59";"Übungsblatt 02";;/Blatt02/Blatt02.pdf
Blatt03-Lösungsvorschlag.pdf;67928;"Dominik Rauh";"2018-11-27 12:03:08";"Lösungsvorschlag zu Blatt 03";;/Blatt03/Blatt03-Lösungsvorschlag.pdf
PräsentationBlatt03.pdf;122908;"Dominik Rauh";"2018-11-27 12:02:24";"Präsentation zu Blatt 03";;/Blatt03/PräsentationBlatt03.pdf
Blatt03.pdf;40128;"Dominik Rauh";"2018-11-14 09:53:09";"Übungsblatt 03";;/Blatt03/Blatt03.pdf
Symphony.tex;739;"Dominik Rauh";"2018-11-29 11:31:36";"LaTeX-Code für Symphony-Netzwerk";;/Blatt04/Symphony.tex
Blatt04-Lösungsvorschlag.pdf;85432;"Dominik Rauh";"2018-12-10 14:20:13";"Lösungsvorschlag zu Blatt 04";;/Blatt04/Blatt04-Lösungsvorschlag.pdf
PräsentationBlatt04.pdf;133066;"Dominik Rauh";"2018-12-10 14:21:26";"Präsentation zu Blatt 04";;/Blatt04/PräsentationBlatt04.pdf
Blatt04.pdf;62694;"Dominik Rauh";"2018-12-10 14:08:46";"Übungsblatt 04";;/Blatt04/Blatt04.pdf
Blatt05-Lösungsvorschlag.pdf;72543;"Dominik Rauh";"2018-12-13 11:19:31";"Lösungsvorschlag zu Blatt 05";;/Blatt05/Blatt05-Lösungsvorschlag.pdf
PräsentationBlatt05.pdf;128625;"Dominik Rauh";"2018-12-10 11:00:53";"Präsentation zu Blatt 05";;/Blatt05/PräsentationBlatt05.pdf
Blatt05.pdf;52034;"Dominik Rauh";"2018-11-27 12:06:35";"Übungsblatt 05";;/Blatt05/Blatt05.pdf
Network.tex;1866;"Dominik Rauh";"2018-12-10 14:33:09";"LaTeX-Code für Aufgabe 2";;/Blatt06/Network.tex
Blatt06-Lösungsvorschlag.pdf;77064;"Dominik Rauh";"2018-12-19 10:17:21";"Lösungsvorschlag zu Blatt 06";;/Blatt06/Blatt06-Lösungsvorschlag.pdf
PräsentationBlatt06.pdf;116020;"Dominik Rauh";"2018-12-19 10:17:33";"Präsentation zu Blatt 06";;/Blatt06/PräsentationBlatt06.pdf
Blatt06.pdf;58306;"Dominik Rauh";"2018-12-12 09:49:25";"Übungsblatt 06";;/Blatt06/Blatt06.pdf
Blatt07.pdf;55589;"Dominik Rauh";"2018-12-17 11:39:26";"Übungsblatt 07";;/Blatt07/Blatt07.pdf
weather-history.csv;9205166;"Dominik Rauh";"2019-01-07 16:17:31";Wetterdatensatz;"Der Wetterdatensatz bereitgestellt von Norbert Budincsevity (https://www.kaggle.com/budincsevity/szeged-weather), ist unter einer Creative-Commons-Lizenz veröffentlicht (https://creativecommons.org/licenses/by-nc-sa/4.0/).";/Blatt08/weather-history.csv
Blatt08.pdf;46576;"Dominik Rauh";"2019-01-08 08:58:55";"Übungsblatt 08";;/Blatt08/Blatt08.pdf
MapReduce.pdf;186477;"Dominik Rauh";"2019-01-14 10:33:56";"MapReduce and Related Technologies";;/Blatt09/MapReduce.pdf
Blatt09.pdf;55107;"Dominik Rauh";"2019-01-14 08:35:11";"Übungsblatt 09";;/Blatt09/Blatt09.pdf
